가입연도,가입당시연령,계약자 소재지(시군구),면적,지목,월지급금(원)
2020,70대,강원특별자치도 양구군 방산면 장평리,2832,답,404800
2019,60대,강원특별자치도 양구군 양구읍 상리,1696,전,927000
2019,60대,강원특별자치도 양구군 양구읍 상리,2050,전,1120490
2019,60대,강원특별자치도 양구군 양구읍 상리,1435,답,281310
2019,70대,강원특별자치도 양구군 양구읍 상리,8371,"답,전",1640980
2020,80대,강원특별자치도 양구군 양구읍 상리,8304,"답,전",695380
2024,60대,강원특별자치도 양구군 양구읍 상리,3473,전,802640
2024,60대,강원특별자치도 양구군 양구읍 상리,10634,"답,전",808440
2022,70대,강원특별자치도 양구군 양구읍 월명리,17543,"답,전",1927770
2025,60대,강원특별자치도 양구군 양구읍 이리,9657,답,1311840
2012,80대,강원특별자치도 양구군 양구읍 하리,17633,전,1230860
2016,70대,강원특별자치도 양구군 해안면 이현리,740,답,27540
2016,60대,강원특별자치도 양구군 해안면 이현리,3755,전,103250
2014,70대,강원특별자치도 양구군 해안면 현리,15332,전,799450
2016,80대,강원특별자치도 양양군 강현면 강선리,4344,"답,전",2463430
2016,80대,강원특별자치도 양양군 강현면 강선리,1837,전,1689890
2020,60대,강원특별자치도 양양군 강현면 강선리,3049,답,1119440
2020,60대,강원특별자치도 양양군 강현면 강선리,3427,답,980680
2020,60대,강원특별자치도 양양군 강현면 강선리,3494,답,899880
2016,70대,강원특별자치도 양양군 강현면 금풍리,11192,"답,전",2079680
2020,80대,강원특별자치도 양양군 강현면 금풍리,2011,전,681290
2023,70대,강원특별자치도 양양군 강현면 물갑리,2417,전,379770
2011,80대,강원특별자치도 양양군 강현면 물치리,4759,"답,전",1404530
2015,70대,강원특별자치도 양양군 강현면 물치리,3742,답,663270
2019,70대,강원특별자치도 양양군 강현면 방축리,1993,답,470510
2019,70대,강원특별자치도 양양군 강현면 방축리,2872,답,678020
2020,70대,강원특별자치도 양양군 강현면 정암리,10046,"과수원,전",1586820
2022,70대,강원특별자치도 양양군 강현면 주청리,1226,전,909190
2023,70대,강원특별자치도 양양군 강현면 하복리,5697,전,1405790
2019,70대,강원특별자치도 양양군 강현면 회룡리,424,전,142420
2019,70대,강원특별자치도 양양군 강현면 회룡리,2163,전,750790
2019,70대,강원특별자치도 양양군 강현면 회룡리,633,전,244130
2019,70대,강원특별자치도 양양군 강현면 회룡리,2363,전,873130
2019,70대,강원특별자치도 양양군 강현면 회룡리,1458,전,538730
2012,70대,강원특별자치도 양양군 서면 ,902,전,27940
2013,70대,강원특별자치도 양양군 서면 ,1150,답,82430
2013,70대,강원특별자치도 양양군 서면 ,590,전,22380
2013,70대,강원특별자치도 양양군 서면 ,1967,답,95120
2011,70대,강원특별자치도 양양군 서면 범부리,10709,"답,전",837260
2023,80대,강원특별자치도 양양군 서면 서림리,2074,전,702370
2020,60대,강원특별자치도 양양군 서면 오색리,949,전,429330
